step,avg_token_length,kl_divergence,accuracy
1,428.46,0.0049,0.0000
2,620.96,0.0065,0.0104
3,310.96,0.0051,0.0417
4,552.50,0.0095,-0.0208
5,566.50,0.0099,0.0417
6,468.33,0.0113,0.1250
7,490.71,0.0197,0.0000
8,474.38,0.0194,0.0104
9,469.50,0.0231,0.0312
10,467.50,0.0228,0.0104
11,828.67,0.0729,-0.0208
12,478.58,0.0504,-0.0312
13,494.12,0.0365,0.0729
14,495.50,0.0577,-0.0312
15,435.79,0.0369,0.1146
16,910.71,0.1213,0.0104
17,547.50,0.0852,0.0208
18,682.96,0.1764,-0.0208
19,481.21,0.0828,0.0000
20,519.38,0.1089,0.0417
21,447.25,0.1160,0.0104
22,472.50,0.1665,0.0104
23,469.75,0.1117,-0.0208
24,539.46,0.1848,0.0104
25,580.04,0.2138,0.0521
26,504.62,0.2456,0.0521
27,336.17,0.0918,0.1562
28,625.67,0.1739,0.0208
29,517.96,0.2107,0.0208
30,427.21,0.2775,-0.0625
31,612.79,0.2506,-0.0417
32,492.54,0.2002,0.0625
33,542.29,0.2534,0.0000
34,371.79,0.1562,0.0729
35,574.67,0.3912,-0.0104
36,607.50,0.5075,0.0104
37,427.92,0.3817,0.0417
38,433.83,0.2429,0.0417
39,442.33,0.3729,0.0938
40,479.12,0.3229,0.0417
41,594.83,0.3224,0.1250
42,392.29,0.3305,0.0000
43,460.83,0.3350,0.0104
44,394.04,0.2686,0.0208
45,520.54,0.4979,0.0417
46,588.79,0.5429,0.0000
47,543.79,0.5582,-0.0208
48,534.08,0.7086,0.0208
49,587.62,0.7037,0.0417
50,309.96,0.5112,0.0208
51,467.12,0.5111,0.0521
52,416.42,0.6350,0.0729
53,489.50,0.7451,-0.0208
54,305.79,0.6018,0.0000
55,612.12,1.0097,-0.0521
56,416.96,0.8499,0.0625
57,480.17,0.7732,0.0000
58,443.62,0.7089,0.0208
59,413.50,1.2497,-0.0312
60,592.88,1.6238,-0.0417
61,564.25,1.4043,-0.0312
62,601.21,1.3293,0.0417
63,482.04,1.0354,0.0000
64,405.00,1.2524,-0.0312
65,452.92,1.1699,-0.0208
66,496.50,1.2312,0.0312
67,483.71,0.9075,0.0729
68,602.96,1.5236,-0.0312
69,434.58,0.8004,0.0417
70,482.92,1.0588,-0.0417
71,548.92,1.6242,0.0208
72,570.79,1.3904,-0.0312
73,542.96,1.3420,0.1458
74,460.04,1.4684,0.0833
75,560.25,1.6781,-0.0208
76,396.58,1.1838,-0.0312
77,458.96,1.5917,0.0417
78,403.42,1.2888,-0.0312
79,482.04,1.8371,0.0104
80,279.96,0.7418,0.0000
81,415.25,1.2795,0.0000
82,462.04,1.1815,-0.0625
83,435.88,1.5675,0.0417
84,464.42,2.0265,0.0208
85,350.79,1.2437,0.0521
86,419.67,1.9299,0.0000
87,639.62,2.6886,0.1146
88,496.04,1.6132,0.0104
89,474.38,1.6290,-0.0104
90,435.25,1.4150,0.0312
91,583.29,2.2640,0.0104
92,468.88,1.6898,0.0208
93,646.17,2.5878,-0.0417
94,560.33,1.4672,0.0104
95,480.21,1.7287,0.0000
96,540.46,1.8070,0.0312
97,478.25,1.8401,-0.0312
98,354.54,1.2651,0.0104
99,548.50,1.9694,-0.0417
100,574.17,2.2058,0.0417
101,631.25,2.2238,0.0208
102,399.38,1.3371,0.0312
103,518.50,1.5029,-0.0104
104,453.50,1.4477,-0.0104
105,528.83,1.4586,0.0521
106,623.04,2.2952,-0.0312
107,583.67,2.1613,0.0104
108,382.04,1.9190,0.0208
109,347.12,1.6890,0.0625
110,414.79,1.5121,0.0208
111,589.38,1.6596,0.0729
112,457.46,1.5455,0.0104
113,380.71,1.8083,0.0312
114,408.71,1.4496,0.0000
115,382.00,1.1985,0.0312
116,439.62,1.8149,0.0208
117,491.46,2.5638,-0.0208
118,450.29,2.1184,0.0104
119,415.92,1.6860,0.0417
120,440.69,1.9323,0.0312
121,480.90,2.2830,0.0312
122,454.58,1.8141,0.0729
123,463.10,2.2974,-0.0104
124,471.67,2.1477,0.0208
125,471.27,2.3425,0.0417
126,498.79,2.3105,0.0417
127,415.40,1.6647,0.0000
128,591.38,2.9926,0.0312
129,488.98,2.0583,-0.0104
130,424.29,1.6178,0.0729
131,475.60,2.0374,0.0000
132,369.56,1.4373,0.0625
133,450.54,1.4396,0.0417
134,484.54,2.0439,0.0104
135,386.38,1.4870,0.0417
136,403.46,1.3867,0.0833
137,342.33,1.0798,0.0938
138,428.35,1.7517,0.0104
139,432.08,1.5716,-0.0208
140,521.44,2.4705,0.0208
141,482.27,1.8065,-0.0312
142,373.23,1.1807,0.0312
143,405.29,1.3613,0.0104
144,489.67,1.6663,0.0312
145,540.08,1.7762,0.1042
146,511.58,2.1519,0.0312
147,478.75,1.8139,0.0521
148,550.08,2.4487,0.0729
149,476.40,1.5614,0.0729
150,549.75,2.3651,-0.0417
151,460.29,1.6180,-0.0104
152,499.67,1.9914,0.0208
153,619.98,2.3101,0.0000
154,455.48,1.7408,0.0521
155,490.35,1.6872,-0.0208
156,571.31,2.0715,0.0208
157,444.46,1.5428,0.0833
158,472.33,1.9455,0.0625
159,430.46,1.4648,-0.0208
160,452.25,1.5198,0.0312
161,447.52,1.9528,0.0208
162,487.71,2.2290,-0.0104
163,465.23,1.8999,0.0625
164,529.98,2.4047,0.0938
165,579.56,2.4478,0.0000
166,399.83,1.6165,0.0208
167,497.50,2.2646,0.0208
168,577.40,2.6103,0.0000
169,438.33,1.7589,0.0208
